task_id,formula,formation_energy_per_atom,e_above_hull,band_gap
mp-1214100,Ca2HI2,-0.321468442,0.873283419,0
mp-567844,Gd2Fe2I,-0.525007741,0,0
mp-570303,KTmI3,-1.177824882,0.134106797,0
mp-771922,Ba3YI9,-1.626893013,0.061969437,2.8353
mp-1209423,RbBa2I5,-1.737867466,0,3.771
mp-27577,Cd2As3I,-0.218776707,0.001015264,0.7476
mp-768734,Sr2CaI6,-1.626208245,0.066368757,3.5508
mp-1097360,Ba2SbI,-0.170940472,1.179351055,0.8293
mp-1189258,Y6PtI10,-1.321329298,0,0.7181
mp-1101363,Sr3CaI8,-1.617939019,0.080120701,2.9305
mp-1192762,Ce3IrI3,-1.082949165,0,0
mp-1205876,CsSmI3,-1.297498805,0.068019814,0
mp-1206235,PrSiI,-1.07202112,0,0
mp-504805,Cs(Zr3I7)2,-0.920593046,0.053053011,0
mp-27272,Ca3PI3,-1.525234638,0,2.1548
mp-27393,AlPd5I2,-0.427658995,0.003060002,0
mp-568493,In3SnI5,-0.478694217,0.00034923,2.0208
mp-755678,Ca(LaI4)2,-1.483001184,0.094891872,2.4691
mp-755770,Ba2LaI7,-1.6364368,0.064158221,1.8583
mp-23415,TlFeI3,-0.157210639,0.175580757,0
mp-676430,Ag9(SI)4,-0.167646715,0.0889501,0
mp-676553,RbCrI3,-0.763933562,0.062927699,0
mp-1111318,K3TlI6,-0.881276177,0.152022918,0.4794
mp-1213956,CaUI6,-1.088812985,0.050077669,0.2174
mp-23380,Tl3PbI5,-0.65431571,0.025073721,2.6118
mp-27741,TeAuI,-0.137425963,0,1.0295
mp-567729,La7C3I10,-1.264487997,0,0
mp-1211238,La2SbI2,-1.441252083,0,0
mp-567325,Tl4CrI6,-0.552627817,0.047726355,0
mp-753610,BaCaI4,-1.644898647,0.077644179,3.5646
mp-756578,LaMgI5,-1.327824643,0.014744466,1.9732
mp-1096949,CuGeI3,-0.013716933,0.254505381,0.6909
mp-1195452,Rb3Sb2I9,-0.864433247,0.000882182,1.8792
mp-1207003,La2Cu2I,-0.610957873,0,0
mp-1213177,CsTmI3,-1.19101627,0.205510223,0
mp-1112968,Cs3SbI6,-1.03248513,0.070140119,2.4187
mp-1207211,Tl2SI2,-0.287317155,0.321608284,2.8427
mp-29612,RbEu2I5,-1.5889509,0.001971439,1.2759
mp-29806,Cs2PdI6,-0.786987409,0.011206515,0.5993
mp-30531,Ta2Se8I,-0.527699604,0,0.0197
mp-754517,SrCa2I6,-1.637287727,0.032363339,3.7364
mp-541738,Cs3Cr2I9,-0.910811977,0.014704735,1.0526
mp-1103539,Cs2CdI4,-1.180869627,0,2.8524
mp-1178555,Ba2SrI6,-1.730147435,0.040925579,3.8551
mp-754388,BaSrI4,-1.665295407,0.091636323,3.2826
mp-849802,Ba2YI7,-1.624676951,0.031037559,2.9089
mp-29402,KGaI4,-0.881484342,0,2.6066
mp-29613,CsEu2I5,-1.605475909,0,1.407
mp-568598,Cu2HgI4,-0.230777764,0.00610009,0.298
mp-628606,Rb2PdI6,-0.74553374,0.016993931,0
mp-672346,RbVI3,-0.865372271,0.022385977,0.6301
mp-998417,CsSrI3,-1.636938305,0.033724459,3.8504
mp-1204449,Cs2ZnI4,-1.182143474,0,3.2202
mp-30018,Rb2ZnI4,-1.137200758,0,3.11
mp-30111,BaLaI4,-1.623281745,0,0.1243
mp-569689,Eu2PI,-1.422587168,0,0
mp-1207495,Zr6GeI14,-0.970598802,0,0.9278
mp-752671,Ba2SrI6,-1.75287487,0.018198144,4.0581
mp-772141,Ba2LaI7,-1.675604074,0.024990947,2.5891
mp-1211485,La3AuI3,-1.174582279,0,0
mp-1229122,Ag2HgI4,-0.302490576,0.000339834,1.2734
mp-22996,SbSeI,-0.32226207,0,1.387
mp-29117,Ta3TeI7,-0.451755418,0.006185353,0.548
mp-567967,LiGaI4,-0.754422133,0,2.4872
mp-568928,Rb2FeI4,-0.910099267,0.027090497,0
mp-1206848,Cs2TcI6,-0.792991668,0,0.7191
mp-31045,KAuI3,-0.664766349,0,0.6587
mp-38177,Rb2ZnI3,-0.917995069,0.242315528,0
mp-674981,Ag3SI,-0.217442501,0.06324035,0.2752
mp-684020,Ce12C6I17,-1.083439762,0,0
mp-772883,Ba6Sr11I34,-1.665823646,0.07863048,3.3618
mp-540839,CsPbI3,-1.04306493,0,2.5203
mp-570238,P10Au7I,-0.140950257,0,0.4986
mp-685503,K(Zr3I7)4,-0.7159898,0.229815664,0.0422
mp-768611,Ba3(YI6)2,-1.537627631,0.092738455,2.3958
mp-1106074,Y6CoI10,-1.209280918,0,0.175
mp-1206803,Y2CI2,-0.985446194,0.003877518,0.4887
mp-23517,RbPbI3,-1.006712972,0,2.4562
mp-1192894,Cs2CoI4,-0.932376846,0,0.6318
mp-1207461,Zr6PI14,-1.036473647,0,0
mp-23382,Y4CI5,-1.124610347,0,0
mp-29824,La3RuI3,-1.136025774,0,0.0521
mp-541001,LiInI4,-0.750988821,0,2.2465
mp-616641,K2UI5,-1.1615933,0.005639902,0.3168
mp-1080544,GdSI,-1.541637266,0.501259289,0.8946
mp-1181918,Cs3Li2I5,-1.407472445,0.015878688,3.7435
mp-1206872,HoSeI,1.31030138,2.964419489,0.0762
mp-23435,Bi2TeI,-0.250322188,0.026906181,0.0188
mp-556135,GdSI,-2.042896555,0,1.5051
mp-685512,Ag15Bi7I40,-0.203868589,0.151947558,0
mp-754630,BaSrI4,-1.685909411,0.071022319,3.4665
mp-23488,Tl5Se2I,-0.450558262,0,0.7098
mp-540822,Cs3Zr2I9,-1.224061492,0,0.3978
mp-756725,Ba2CaI6,-1.74127497,0.006872109,3.5732
mp-1080534,Cs2Li3I5,-1.349301793,0.011501466,3.8632
mp-1207267,Pr4CoI5,-1.067417665,0,0.3113
mp-28458,ErSeI,-1.68922815,0,2.309
mp-673825,Ag3SI,-0.209881353,0.070801498,0.4249
mp-1101357,SrCa2I6,-1.587753424,0.081897642,3.5626
mp-1206662,Cs2TiI6,-1.129365731,0,0.8823
mp-23431,CsCu2I3,-0.624568763,0.0042752,1.9006
mp-567858,Dy12C6I17,-1.130820964,0.004482668,0
mp-31322,La6OsI10,-1.347365276,0,0
mp-676315,Y2GeI2,-1.241981675,0,0.2055
mp-754199,BaSrI4,-1.715396811,0.041534919,2.8453
mp-772221,Ba5La3I19,-1.609737108,0.079884517,2.4874
mp-773900,BaCa2I6,-1.621668237,0.075270337,3.6368
mp-1096939,CuGeI3,0.190227707,0.458450021,0.1161
mp-28590,Hg4As2I3,-0.169046502,0.003006575,0.6589
mp-1223222,La4C2I5,-1.192119891,0,0
mp-686149,Ag15(BiI4)16,-0.374572792,0.040682394,0
mp-771691,CaPbI6,-0.790301713,0.080289137,1.783
mp-775932,Ba2YI7,-1.564717041,0.09099747,2.4686
