,AtomicRadius,AtomicVolume,AtomicWeight,BoilingT,CovalentRadius,Density,ElectronAffinity,Electronegativity,FirstIonizationEnergy,HeatCapacityMass,SecondIonizationEnergy
Er,1.75,30.63606837,167.259,3141,189,9066,50,1.24,6.1077,0.168,11.93
Tm,1.75,30.09638585,168.93421,2223,190,9321,50,1.25,6.18431,0.16,12.05
Yb,1.75,43.73967194,173.054,1469,187,6570,50,1.26,6.25416,0.155,12.176
Lu,1.75,29.52403191,174.9668,3675,187,9841,50,1.27,5.42586,0.154,13.9
Hf,1.55,22.26871119,178.49,4876,175,13310,0,1.3,6.82507,0.144,15
Ta,1.45,18.04672956,180.94788,5731,170,16650,31,1.5,7.54957,0.14,
W,1.35,15.85873442,183.84,5828,162,19250,78.6,2.36,7.86403,0.132,16.1
Re,1.35,14.71033423,186.207,5869,151,21020,14.5,1.9,7.83352,0.137,
Os,1.3,13.98369767,190.23,5285,144,22590,106.1,2.2,8.43823,0.13,
Ir,1.35,14.14855047,192.217,4701,141,22560,151,2.2,8.96702,0.131,
Pt,1.35,15.36046351,195.084,4098,136,21090,205.3,2.28,8.9588,0.133,18.563
Au,1.35,16.94706362,196.966569,3129,136,19300,222.8,2.54,9.22553,0.129,20.2
Hg,1.5,24.61174207,200.59,629.73,132,13534,0,2,10.4375,0.14,18.7568
Tl,1.9,28.64087656,204.3833,1746,145,11850,19.2,1.62,6.108194,0.129,20.4283
Pb,1.8,30.34142301,207.2,2022,146,11340,35.1,2.33,7.41663,0.13,15.03248
Bi,1.6,35.48345908,208.9804,1837,148,9780,91.2,2.02,7.2855,0.122,16.703
Po,1.9,37.74040639,209,1235,140,9196,183.3,2,8.414,,
At,,,210,,150,,270.1,2.2,,,
Rn,,37887.79955,222,211.3,150,9.73,0,,10.7485,0.094,
Fr,,,223,,260,,,0.7,4.072741,,
Ra,2.15,75.05812023,226,2010,221,5000,,0.9,5.278423,,10.14715
Ac,1.95,37.4330863,227,3473,215,10070,,1.1,5.17,0.12,11.75
Th,1.8,32.86568321,232.03806,5093,206,11724,,1.3,6.3067,0.118,11.9
Pa,1.8,24.96116063,231.03586,4273,200,15370,,1.5,5.89,,
U,1.75,20.7488474,238.02891,4200,196,19050,,1.38,6.1941,0.116,10.6
Np,1.75,19.24483901,237,4273,190,20450,,1.36,6.2657,,
Pu,1.75,20.44716406,244,3503,187,19816,,1.28,6.026,,11.2
Am,1.75,29.51868508,243,2284,180,13670,,1.3,5.9738,,
