,task_id,formula,formation_energy_per_atom,e_above_hull,band_gap,has_bandstructure
9385,mp-627401,CdI2,-0.583683233,0.0084537655555554,2.3587,True
9788,mp-570188,ZrI3,-0.9684371575000004,0.0,0.1305,False
10346,mp-568002,HfI3,-0.8850626925,0.0,0.0,True
10350,mp-570448,CdI2,-0.5917053301282049,0.0004316684273506,2.4105,True
10809,mp-28268,PtI3,-0.1494451168749995,0.0027504103124997,0.3704999999999998,True
10810,mp-28306,MnBr2,-0.8170801999999995,0.0,1.5991,True
10866,mp-580941,AgI,-0.2380392708333332,0.0464974675,1.3762,True
10878,mp-669334,CdI2,-0.5905237876666667,0.0016132108888888,2.3553,True
11041,mp-1102093,EuI2,-1.624286296666667,0.0,1.1898999999999995,False
11362,mp-570019,CdI2,-0.5910869933333333,0.0010500052222224,2.3725,True
11750,mp-22876,CsI3,-0.8333170796767242,0.0,1.8986,True
11752,mp-23205,MgI2,-1.0627223533333332,0.0,3.6163,True
11775,mp-27871,RhBr3,-0.4494346912499996,0.0,1.2475999999999998,True
12141,mp-1206305,ZnBr6,0.2834003678571429,0.6741073973214284,0.1196000000000001,False
12258,mp-29443,PI2,-0.0615302623809519,0.0,1.8951,True
12321,mp-569595,PbI2,-0.6745891483333336,0.000766515,2.4117,True
12359,mp-680144,CdI2,-0.5904780571052631,0.0016589414502925,2.3419,True
12505,mp-1018138,VI2,-0.4857101033333334,0.0,1.0135000000000003,True
12808,mp-570418,YbI2,-1.6692485666666668,0.0,4.0159,True
12809,mp-570884,TeI4,-0.1245583980000002,0.0,1.7639000000000002,True
12979,mp-982064,Tl3Br,-0.2836229987499998,0.1591557537499999,0.0,False
13304,mp-23219,CuBr2,-0.3119106866666665,0.0,0.0,True
13313,mp-27153,UBr4,-1.325737968,0.0,0.0,True
13387,mp-680119,CdI2,-0.5905842483333336,0.0015527502222221,2.3526,True
13584,mp-1186700,Pr3Br,-0.130063845,0.5188011082499999,0.0,False
13671,mp-1214175,Bi7I2,-0.1147845305555554,0.0283318609259262,0.0,False
13829,mp-29263,UBr5,-1.2464975016666664,0.0,0.241,False
13832,mp-30985,Tb6Br7,-1.297847038461538,0.0380881170512825,0.0,True
13871,mp-569850,CeBr3,-1.8432612325,0.0,0.0893000000000001,True
14282,mp-29671,TmI2,-1.1441994499999997,0.0466977022222221,0.0,True
14582,mp-1186813,Pu3Br,0.1011354298437492,0.6306869338281267,0.0,False
14744,mp-541637,Er4I5,-0.9312642611111108,0.0659924101851854,0.0,True
14793,mp-569960,ZnBr2,-0.8251783983333333,0.0864713370833336,3.2848,False
14796,mp-570229,ThBr4,-1.7504865040000002,0.0,2.82,True
14800,mp-570610,CdI2,-0.5921055601282049,3.143842735053859e-05,2.4284,True
15064,mp-1101136,TeI4,0.0440799336666666,0.1686383316666666,0.0,False
15276,mp-27474,PaBr4,-1.4411364150000003,0.0,0.0421999999999997,True
15279,mp-27638,NiI2,-0.1005846866666668,0.0,0.0,True
15328,mp-567273,HfI4,-0.8868423714999999,0.0300089814999999,3.2852,True
15331,mp-570044,NbI4,-0.4642969975,0.0,0.4775999999999998,True
15443,mp-862851,PaI3,-0.8684611625,0.0,0.0,False
15687,mp-1189196,BiI3,-0.4566060456250001,0.0264117756250001,2.7184,False
15838,mp-29312,InI2,-0.5155549611111114,0.0,1.7858,True
15907,mp-680145,CdI2,-0.5904122523333333,0.0017247462222222,2.3355,True
16364,mp-568108,InBr2,-0.8030505636111109,0.0,2.4144,True
16375,mp-614603,CsI,-1.548446883103448,0.0,3.8572,True
16475,mp-864915,HfBr3,-1.2402905824999992,0.0668914037500005,0.0,True
16479,mp-867500,PuI2,-0.979735882291666,0.0,0.2420999999999997,False
16589,mp-1184720,HgBr3,-0.0760345062499998,0.2820147500000001,0.0,False
16794,mp-27771,Nb3Br8,-0.9296613895454544,0.0,0.0306999999999999,True
16876,mp-571558,HgBr2,-0.4363408522222222,0.0410581561111111,1.682,True
16976,mp-864617,NdI3,-1.410011634375,0.0,2.0136000000000003,True
17242,mp-28149,Bi9I2,-0.0790313340909085,0.0380638953030305,0.0,True
17247,mp-29555,MoBr2,-0.6874808227777776,0.0,2.1220000000000003,True
17324,mp-570082,CdI2,-0.5911424850000001,0.0009945135555555,2.3784,True
17731,mp-23238,Ta3I7,-0.4785595609999994,0.0,0.8864000000000001,True
17732,mp-23292,HgBr2,-0.4773990083333333,0.0,2.5374,True
17792,mp-567269,TeI4,-0.1219411400000002,0.0026172580000001,1.8301,True
17805,mp-618813,Gd2Br3,-1.525650539,0.0101220620000006,0.2529000000000003,False
17808,mp-627557,CdI2,-0.5905598646296297,0.0015771339259258,2.3697,True
17825,mp-680077,Ta2Br5,-0.914545866845238,0.0,0.0,False
18480,mp-862982,Ag2Br3,-0.2784813416666665,0.019987741,0.0,False
18809,mp-22913,CuBr,-0.2540413499999996,0.0,0.4859,True
18829,mp-30025,DyBr2,-1.4564273629166664,0.1954621737499993,0.0,True
18836,mp-31007,Tb5Br8,-1.5067987400000002,0.0199842948717945,0.0,True
19309,mp-22882,YbBr2,-2.10928868,0.0003973450000005,4.4989,True
19380,mp-567534,CdI2,-0.5910288475,0.0011081510555557,2.365,True
19860,mp-571197,CdI2,-0.5911380226190478,0.0009989759365078,2.3934,True
19982,mp-863695,PmI3,-1.408307368125,0.0,2.0675,False
20027,mp-1080428,NbBr4,-0.901699936,0.0,0.8548,False
20116,mp-1198690,MoI2,-0.3858483255555553,0.0,1.6573999999999995,False
20236,mp-27734,CrBr3,-0.8087746204166665,0.0,1.2692,False
20650,mp-1186215,Nb3I,0.5920896450000006,0.7723847753977281,0.0,False
21046,mp-1103073,Sb2Br9,-0.36151119,0.0840533395454543,0.0,False
21324,mp-27641,CsBr3,-0.982874444051724,0.0,2.1972,True
21854,mp-570613,CdI2,-0.5909992294444442,0.0011377691111114,2.355,False
22227,mp-22895,CuI,-0.1545634749999997,0.0016315475000001,1.1363000000000003,True
22230,mp-23255,UBr3,-1.2747232087499991,0.0,0.0,True
22262,mp-28753,NdI2,-1.3112038058333333,0.0,0.0,True
22374,mp-624400,CdI2,-0.5904267186666665,0.001710279888889,2.347,True
22386,mp-647489,CdI2,-0.5904724064285715,0.0016645921269842,2.3676,True
22409,mp-680093,CdI2,-0.5904493577272727,0.0016876408282828,2.351,True
22410,mp-680115,CdI2,-0.590684775714286,0.0014522228412696,2.3587,True
22411,mp-680266,Sm5Br11,-1.56950593890625,0.1736763896874995,0.0,False
22597,mp-1184038,Cs3I,-0.6323280871551724,0.1418953543965515,0.0,False
23051,mp-1060967,AgBr,-0.1505265583333335,0.222559795,0.1323,False
23125,mp-1183348,Au3Br,0.2998438774999998,0.368223735,0.0,False
23368,mp-684029,CdI2,-0.5906915695238096,0.001445429031746,2.3629,True
23539,mp-1079786,BiI3,-0.3965840025,0.0864338187500002,2.2241,False
23705,mp-1205299,TcBr3,-0.3767196825000001,0.0137725037500002,0.0,False
24583,mp-1184708,GeBr2,-0.5442538683333329,0.0318805862500002,1.5371,False
24774,mp-27182,GdBr3,-1.91971575125,0.0,2.1414,False
24873,mp-570005,SbBr3,-0.6126512281250003,0.0,3.1147,True
25225,mp-27215,CrI2,-0.3030863299999999,0.0811287944444449,0.0152999999999998,False
25229,mp-28077,PbBr2,-0.915366885,0.0199700516666663,3.1232,False
25242,mp-504594,ZrBr,-1.0081766175000002,0.0,0.0,True
25296,mp-569224,SbI3,-0.315137499375,0.0473466956249999,2.1951,True
25298,mp-569843,MnBr2,-0.8167750066666658,0.0003051933333333,1.5292,True
25535,mp-1065846,ZrBr,-1.0079759225,0.0002006950000001,0.0,False
25618,mp-1183756,Co3I,0.6538651400000006,0.6538651400000006,0.0,False
25761,mp-23216,SnBr4,-0.6942966944999999,0.0,2.7003,True
26112,mp-1183765,CrBr2,-0.6414739049999998,0.0774368687037032,0.3125,False
26370,mp-568722,CdBr2,-0.8887103633333334,0.0016296483333331,2.8549,True
26573,mp-1183096,Ac3I,-0.1384393049999999,0.3676472022222224,0.0,False
26827,mp-27974,PuBr3,-1.53862641671875,0.0,0.0,True
26874,mp-568692,In4Br7,-0.7657822430303031,0.0156810013068184,2.2528,True
26878,mp-569964,CdI2,-0.5910825283333333,0.0010544702222223,2.3909,True
26879,mp-570136,CuI,-0.1561950224999992,0.0,1.6308000000000002,True
26880,mp-570695,CdI2,-0.591064301111111,0.0010726974444446,2.3682,True
27269,mp-22925,AgI,-0.2845367383333333,0.0,1.3678,True
27362,mp-567359,CdI2,-0.5909343570000001,0.0012026415555554,2.3726000000000003,True
27375,mp-583213,HgI2,-0.3157233460416666,0.0,1.4602000000000002,True
27717,mp-22899,LiI,-1.1993118049999998,0.0363957049999998,4.2337,True
27805,mp-570219,InBr3,-0.8454596970833335,0.0,2.4965,True
27818,mp-610430,BiBr3,-0.7131495299999999,0.0618752124999999,2.518,True
27837,mp-647579,ZnBr2,-0.9116497354166668,0.0,3.2203,False
28075,mp-1182980,AgI,0.5380801566666669,0.8226168950000001,1.8697,False
28120,mp-1212517,HfBr4,-1.3943274520000002,0.0,4.2902000000000005,False
28222,mp-23189,BI3,-0.0639093166666668,0.0,2.6818,True
28290,mp-580202,PbI2,-0.6741691386666668,0.0011865246666666,2.3956,False
29313,mp-27456,BaBr2,-2.227832289583333,0.0,4.3731,True
29370,mp-571567,CdI2,-0.5913937316666669,0.0007432668888887,2.4658,True
29524,mp-1078239,WBr4,-0.4751675399999996,0.0091619908333333,0.2091999999999998,False
30087,mp-1184741,HoBr2,-1.5045882633333332,0.136719577777777,0.0,False
30088,mp-1185135,KBr3,-0.6314174682499998,0.2514184687500003,0.0,False
30097,mp-1188728,CdI2,-0.5904332494444442,0.0017037491111111,2.3742,False
30354,mp-571613,CdI2,-0.5916918313888888,0.0004451671666665,2.3903,True
30355,mp-571660,CdI2,-0.5920460624999997,9.093605555565708e-05,2.4136,True
30489,mp-978798,Sm3I,-0.0984827443749996,0.3678546716666666,0.0,True
30541,mp-1096937,CuI,0.0814620600000002,0.2376570825000001,0.0,False
30744,mp-23306,CuI,0.0975908924999999,0.2537859149999999,0.0,True
30804,mp-571258,Er6I7,-0.9050449569230772,0.0615268937179487,0.0,True
31349,mp-570263,CdI2,-0.5918976950000001,0.0002393035555554,2.3962,False
31455,mp-865493,VI3,-0.3792088200000001,0.0,0.0,True
31615,mp-1187158,SrBr2,-2.140758096666666,0.0154014158333333,4.3834,False
31870,mp-570410,CdI2,-0.591301685,0.0008353135555554,2.379,True
32009,mp-1025442,IrI3,-0.1469170974999998,0.0,1.2786999999999995,False
32088,mp-1188037,Zr3Br,0.2085779912499994,0.7126662999999995,0.0,False
32128,mp-1206823,PrI6,-0.0978690264285714,0.7086630300000003,0.1271000000000004,False
32299,mp-23232,FeBr3,-0.3501341299999998,0.0,0.0,False
32554,mp-1147530,CuBr2,-0.0958653766666666,0.2160453099999997,0.0,False
32859,mp-570671,CdI2,-0.5916651694444445,0.0004718291111109,2.4004,True
33547,mp-1078836,KI,-1.4727476940000002,0.0207357749999999,3.7152,False
34310,mp-27922,GeI2,-0.3429071750000002,0.0,2.035,True
34355,mp-569157,BiI3,-0.4824038725,0.0006139487500003,2.475,True
34617,mp-1208104,TmBr2,-1.3779342045833332,0.2539663287499998,0.0,False
34652,mp-1213805,CrI3,-0.4322420149999999,0.0,1.0587,False
34824,mp-28241,ZrI2,-0.8156861894444442,0.079492003055555,0.0798000000000001,True
35022,mp-1071541,YbBr2,-2.109686025,0.0,4.3169,False
35268,mp-27257,PBr3,-0.3901398386607142,0.0,3.3255,True
35362,mp-570511,CdI2,-0.5910373369999999,0.0010996615555556,2.3845,True
35973,mp-862773,TeI2,-0.0366978583333335,0.0700176366666665,0.7143999999999999,False
36082,mp-1173456,NiBr2,0.1088939833333337,0.4716718833333338,0.5175000000000001,False
36265,mp-23194,LaI2,-1.425614109166667,0.0,0.0,False
36325,mp-571516,CdI2,-0.5915225664583333,0.0006144320972223,2.3606,False
36803,mp-23266,GeI4,-0.2871157114999999,0.0,1.996,True
36878,mp-582084,CdI2,-0.5918564668518519,0.0002805317037037,2.3919,True
36905,mp-680133,CdI2,-0.5906724746078433,0.0014645239477122,2.3558000000000003,True
37310,mp-22883,PbI2,-0.6753556633333334,0.0,2.4226,True
37312,mp-22894,AgI,-0.2842426158333331,0.0002941225000001,1.3958999999999997,True
37315,mp-23202,InI,-0.4684850841666668,0.0,1.3567999999999998,True
37379,mp-568284,SrI2,-1.7145078758333334,0.0,3.8014,True
37784,mp-28571,La2Br5,-1.9577267714285715,0.0,0.2976000000000001,False
37836,mp-540943,SeBr,-0.0914093717968747,0.0042051952929691,1.7386,True
37882,mp-612520,UI4,-0.7845077249999995,0.0502792799999998,0.0665,False
37898,mp-669340,CdI2,-0.5906823140476192,0.0014546845079366,2.3451,True
38096,mp-1187907,YbBr,-1.32041354,0.2618509787500001,0.0,False
38228,mp-32711,SrBr2,-2.1422362830000004,0.0139232295,4.299799999999999,True
38652,mp-1210365,Re3Br7,-0.2818062454999996,0.0,0.3533000000000001,False
38824,mp-571084,MnBr2,-0.8115379474999992,0.0055422524999997,1.5308000000000002,True
